구분	약국명칭	약국전화번호	약국소재지(도로명주소)	마스크 보유현황
분당구	정은약국	031-718-8433	경기도 성남시 분당구 구미로173번길 47, 151호 (구미동, 서울시니어스분당타워)	172
분당구	시니어스약국	031-738-9511	경기도 성남시 분당구 구미로173번길 47, 161호 (구미동, 서울시니어스타워)	85
분당구	가자크린팜대학약국	031-712-4168	경기도 성남시 분당구 금곡로 233, 101,102호 (금곡동, 청솔마을 동아A상가동)	90
분당구	삼정약국	031-719-4589	경기도 성남시 분당구 내정로 167, 양지프라임 101호 (수내동)	77
분당구	우주약국	031-717-1015	경기도 성남시 분당구 내정로 170, 3층 3,3-1호 (수내동, 동신파크빌딩)	4
분당구	다솜약국	031-717-1445	경기도 성남시 분당구 내정로 170, 3층 307호 (수내동, 동신파크빌딩)	24
분당구	다정약국	031-716-4623	경기도 성남시 분당구 내정로 172, 1층 103호 (수내동, 상지상가빌딩)	166
분당구	메디칼김약국	031-718-7330	경기도 성남시 분당구 내정로 29, 209호 (정자동, 금곡동프라자)	6
분당구	금곡약국	031-717-2433	경기도 성남시 분당구 내정로 29, 2층 206호 (정자동, 금곡프라자)	24
분당구	금곡프라자약국	031-717-1333	경기도 성남시 분당구 내정로 29, 307-1호 (정자동, 금곡프라자)	83
분당구	라온약국	031-719-1226	경기도 성남시 분당구 내정로 58, 스포라이프 스포츠센타 108호 (정자동)	59
분당구	온누리새한솔약국	031-716-8543	경기도 성남시 분당구 내정로 94, 107호 (정자동, 한솔마을7단지 상가)	47
분당구	십자약국	031-716-9006	경기도 성남시 분당구 내정로107번길 2, 1층 (정자동)	51
분당구	양지우리약국	031-711-9929	경기도 성남시 분당구 내정로165번길 10-6, 2층 (수내동, 수내프라자)	136
분당구	열린팜약국	031-719-6005	경기도 성남시 분당구 내정로165번길 50, 106호 (수내동, 크리스탈빌딩)	97
분당구	건강약국	031-712-9200	경기도 성남시 분당구 내정로166번길 43, 124호 (수내동, 금산프라자)	87
분당구	수내약국	031-719-9043	경기도 성남시 분당구 내정로166번길 43, 1층 101호 (수내동, 금산프라자)	55
분당구	우리미소약국	031-711-7655	경기도 성남시 분당구 내정로173번길 1, 5층 (수내동)	87
